carrier_group,reporting_airport,origin_destination,origin_destination_country,month,n_flights,p_ge_3h,p_cancelled,avg_delay_min,approx_km,k_gbp,assumed_fare_gbp,gross_screening_ratio
easyJet,BIRMINGHAM,BELFAST INTERNATIONAL,UNITED KINGDOM,5,105,0.0,0.018691588785046728,10.0,400.0,220.0,29.4,0.0
easyJet,BIRMINGHAM,BELFAST INTERNATIONAL,UNITED KINGDOM,9,105,0.0,0.0,10.0,400.0,220.0,30.8,0.0
easyJet,BIRMINGHAM,BELFAST INTERNATIONAL,UNITED KINGDOM,11,105,0.0,0.009433962264150943,4.0,400.0,220.0,23.8,0.0
easyJet,BIRMINGHAM,BELFAST INTERNATIONAL,UNITED KINGDOM,12,116,0.0,0.04918032786885246,11.0,400.0,220.0,30.8,0.0
easyJet,BIRMINGHAM,EDINBURGH,UNITED KINGDOM,2,100,0.0,0.0,10.0,400.0,220.0,23.8,0.0
easyJet,BIRMINGHAM,EDINBURGH,UNITED KINGDOM,3,109,0.0,0.0,6.0,400.0,220.0,25.2,0.0
easyJet,BRISTOL,EDINBURGH,UNITED KINGDOM,1,108,0.0,0.0,11.0,400.0,220.0,23.8,0.0
easyJet,BRISTOL,EDINBURGH,UNITED KINGDOM,2,125,0.0,0.0,6.0,400.0,220.0,23.8,0.0
easyJet,BRISTOL,EDINBURGH,UNITED KINGDOM,4,122,0.0,0.0,7.0,400.0,220.0,28.0,0.0
easyJet,BRISTOL,EDINBURGH,UNITED KINGDOM,5,127,0.0,0.0,13.0,400.0,220.0,29.4,0.0
easyJet,BRISTOL,EDINBURGH,UNITED KINGDOM,6,112,0.0,0.0,15.0,400.0,220.0,35.0,0.0
easyJet,BRISTOL,EDINBURGH,UNITED KINGDOM,7,105,0.0,0.018691588785046728,20.0,400.0,220.0,40.6,0.0
easyJet,BRISTOL,EDINBURGH,UNITED KINGDOM,8,106,0.0,0.0,17.0,400.0,220.0,40.6,0.0
easyJet,BRISTOL,GENEVA,SWITZERLAND,3,128,0.0,0.0,8.5,750.0,220.0,25.2,0.0
easyJet,EDINBURGH,BELFAST INTERNATIONAL,UNITED KINGDOM,4,108,0.0,0.0,3.0,400.0,220.0,28.0,0.0
easyJet,EDINBURGH,BELFAST INTERNATIONAL,UNITED KINGDOM,6,113,0.0,0.008771929824561403,9.0,400.0,220.0,35.0,0.0
easyJet,EDINBURGH,BELFAST INTERNATIONAL,UNITED KINGDOM,7,118,0.0,0.016666666666666666,14.0,400.0,220.0,40.6,0.0
easyJet,EDINBURGH,BELFAST INTERNATIONAL,UNITED KINGDOM,8,117,0.0,0.0,12.0,400.0,220.0,40.6,0.0
easyJet,EDINBURGH,BELFAST INTERNATIONAL,UNITED KINGDOM,10,113,0.0,0.008771929824561403,11.0,400.0,220.0,28.0,0.0
easyJet,EDINBURGH,BELFAST INTERNATIONAL,UNITED KINGDOM,11,111,0.0,0.0,5.0,400.0,220.0,23.8,0.0
easyJet,EDINBURGH,BIRMINGHAM,UNITED KINGDOM,3,108,0.0,0.0,6.0,400.0,220.0,25.2,0.0
easyJet,EDINBURGH,BRISTOL,UNITED KINGDOM,1,108,0.0,0.06086956521739131,9.0,400.0,220.0,23.8,0.0
easyJet,EDINBURGH,BRISTOL,UNITED KINGDOM,2,125,0.0,0.0,5.0,400.0,220.0,23.8,0.0
easyJet,EDINBURGH,BRISTOL,UNITED KINGDOM,3,134,0.0,0.0,8.0,400.0,220.0,25.2,0.0
easyJet,EDINBURGH,BRISTOL,UNITED KINGDOM,4,122,0.0,0.0,5.0,400.0,220.0,28.0,0.0
easyJet,EDINBURGH,BRISTOL,UNITED KINGDOM,5,127,0.0,0.0,13.0,400.0,220.0,29.4,0.0
easyJet,EDINBURGH,BRISTOL,UNITED KINGDOM,6,112,0.0,0.0,13.0,400.0,220.0,35.0,0.0
easyJet,EDINBURGH,BRISTOL,UNITED KINGDOM,7,105,0.0,0.018691588785046728,17.0,400.0,220.0,40.6,0.0
easyJet,EDINBURGH,BRISTOL,UNITED KINGDOM,9,115,0.0,0.008620689655172414,17.0,400.0,220.0,30.8,0.0
easyJet,EDINBURGH,BRISTOL,UNITED KINGDOM,10,130,0.0,0.0,8.0,400.0,220.0,28.0,0.0
easyJet,EDINBURGH,BRISTOL,UNITED KINGDOM,11,127,0.0,0.0,8.0,400.0,220.0,23.8,0.0
easyJet,EDINBURGH,GATWICK,UNITED KINGDOM,2,120,0.0,0.0,5.0,400.0,220.0,23.8,0.0
easyJet,EDINBURGH,GATWICK,UNITED KINGDOM,3,131,0.0,0.0,5.0,400.0,220.0,25.2,0.0
easyJet,EDINBURGH,GATWICK,UNITED KINGDOM,4,108,0.0,0.0,5.0,400.0,220.0,28.0,0.0
easyJet,EDINBURGH,GATWICK,UNITED KINGDOM,5,125,0.0,0.0,11.0,400.0,220.0,29.4,0.0
easyJet,EDINBURGH,GATWICK,UNITED KINGDOM,6,117,0.0,0.0,13.0,400.0,220.0,35.0,0.0
easyJet,EDINBURGH,GATWICK,UNITED KINGDOM,7,110,0.0,0.017857142857142856,24.0,400.0,220.0,40.6,0.0
easyJet,EDINBURGH,GATWICK,UNITED KINGDOM,9,119,0.0,0.0,21.0,400.0,220.0,30.8,0.0
easyJet,EDINBURGH,GATWICK,UNITED KINGDOM,10,127,0.0,0.0,11.0,400.0,220.0,28.0,0.0
easyJet,EDINBURGH,GATWICK,UNITED KINGDOM,11,128,0.0,0.0,5.0,400.0,220.0,23.8,0.0
easyJet,EDINBURGH,STANSTED,UNITED KINGDOM,2,100,0.0,0.0,6.0,400.0,220.0,23.8,0.0
easyJet,GATWICK,ALICANTE,SPAIN,5,147,0.0,0.0,16.0,1250.0,220.0,29.4,0.0
easyJet,GATWICK,ALICANTE,SPAIN,7,158,0.0,0.0125,31.0,1250.0,220.0,40.6,0.0
easyJet,GATWICK,AMSTERDAM,NETHERLANDS,2,138,0.0,0.0,10.0,360.0,220.0,23.8,0.0
easyJet,GATWICK,AMSTERDAM,NETHERLANDS,5,159,0.0,0.0,15.0,360.0,220.0,29.4,0.0
easyJet,GATWICK,AMSTERDAM,NETHERLANDS,7,143,0.0,0.013793103448275862,20.0,360.0,220.0,40.6,0.0
easyJet,GATWICK,AMSTERDAM,NETHERLANDS,8,145,0.0,0.013605442176870748,17.0,360.0,220.0,40.6,0.0
easyJet,GATWICK,AMSTERDAM,NETHERLANDS,10,161,0.0,0.006172839506172839,15.0,360.0,220.0,28.0,0.0
easyJet,GATWICK,AMSTERDAM,NETHERLANDS,11,160,0.0,0.012345679012345678,6.0,360.0,220.0,23.8,0.0
easyJet,GATWICK,BARCELONA,SPAIN,3,115,0.0,0.008620689655172414,8.0,1250.0,220.0,25.2,0.0
easyJet,GATWICK,BARCELONA,SPAIN,4,120,0.0,0.0,6.0,1250.0,220.0,28.0,0.0
easyJet,GATWICK,BARCELONA,SPAIN,5,123,0.0,0.008064516129032258,10.0,1250.0,220.0,29.4,0.0
easyJet,GATWICK,BARCELONA,SPAIN,8,123,0.0,0.0,17.0,1250.0,220.0,40.6,0.0
easyJet,GATWICK,BARCELONA,SPAIN,9,119,0.0,0.008333333333333333,19.0,1250.0,220.0,30.8,0.0
easyJet,GATWICK,BARCELONA,SPAIN,10,123,0.0,0.008064516129032258,13.0,1250.0,220.0,28.0,0.0
easyJet,GATWICK,BELFAST INTERNATIONAL,UNITED KINGDOM,2,120,0.0,0.0,8.0,400.0,220.0,23.8,0.0
easyJet,GATWICK,BELFAST INTERNATIONAL,UNITED KINGDOM,3,134,0.0,0.0,5.0,400.0,220.0,25.2,0.0
easyJet,GATWICK,BELFAST INTERNATIONAL,UNITED KINGDOM,4,112,0.0,0.0,3.0,400.0,220.0,28.0,0.0
easyJet,GATWICK,BELFAST INTERNATIONAL,UNITED KINGDOM,5,114,0.0,0.0,8.0,400.0,220.0,29.4,0.0
easyJet,GATWICK,BELFAST INTERNATIONAL,UNITED KINGDOM,9,107,0.0,0.0,18.0,400.0,220.0,30.8,0.0
easyJet,GATWICK,BELFAST INTERNATIONAL,UNITED KINGDOM,11,119,0.0,0.0,4.0,400.0,220.0,23.8,0.0
easyJet,GATWICK,BELFAST INTERNATIONAL,UNITED KINGDOM,12,137,0.0,0.007246376811594203,15.0,400.0,220.0,30.8,0.0
easyJet,GATWICK,CORFU,GREECE,9,109,0.0,0.0,26.0,2400.0,350.0,38.5,0.0
easyJet,GATWICK,EDINBURGH,UNITED KINGDOM,2,119,0.0,0.0,9.0,400.0,220.0,23.8,0.0
easyJet,GATWICK,EDINBURGH,UNITED KINGDOM,3,131,0.0,0.0,7.0,400.0,220.0,25.2,0.0
easyJet,GATWICK,EDINBURGH,UNITED KINGDOM,4,108,0.0,0.0,6.0,400.0,220.0,28.0,0.0
easyJet,GATWICK,EDINBURGH,UNITED KINGDOM,5,125,0.0,0.0,9.0,400.0,220.0,29.4,0.0
easyJet,GATWICK,EDINBURGH,UNITED KINGDOM,6,117,0.0,0.0,12.0,400.0,220.0,35.0,0.0
easyJet,GATWICK,EDINBURGH,UNITED KINGDOM,7,109,0.0,0.018018018018018018,23.0,400.0,220.0,40.6,0.0
easyJet,GATWICK,EDINBURGH,UNITED KINGDOM,8,112,0.0,0.0,21.0,400.0,220.0,40.6,0.0
easyJet,GATWICK,EDINBURGH,UNITED KINGDOM,9,118,0.0,0.0,20.0,400.0,220.0,30.8,0.0
easyJet,GATWICK,EDINBURGH,UNITED KINGDOM,10,128,0.0,0.0,12.0,400.0,220.0,28.0,0.0
easyJet,GATWICK,EDINBURGH,UNITED KINGDOM,11,128,0.0,0.007751937984496124,6.0,400.0,220.0,23.8,0.0
easyJet,GATWICK,EDINBURGH,UNITED KINGDOM,12,137,0.0,0.007246376811594203,13.0,400.0,220.0,30.8,0.0
easyJet,GATWICK,FARO,PORTUGAL(EXCLUDING MADEIRA),4,150,0.0,0.006622516556291391,6.0,1600.0,350.0,35.0,0.0
easyJet,GATWICK,FARO,PORTUGAL(EXCLUDING MADEIRA),7,181,0.0,0.01092896174863388,21.0,1600.0,350.0,50.75,0.0
easyJet,GATWICK,FARO,PORTUGAL(EXCLUDING MADEIRA),8,182,0.0,0.00546448087431694,15.0,1600.0,350.0,50.75,0.0
easyJet,GATWICK,FARO,PORTUGAL(EXCLUDING MADEIRA),9,166,0.0,0.005988023952095809,20.0,1600.0,350.0,38.5,0.0
easyJet,GATWICK,GLASGOW,UNITED KINGDOM,3,107,0.0,0.0,5.0,400.0,220.0,25.2,0.0
easyJet,GATWICK,GLASGOW,UNITED KINGDOM,4,120,0.0,0.0,5.0,400.0,220.0,28.0,0.0
easyJet,GATWICK,GLASGOW,UNITED KINGDOM,5,118,0.0,0.0,11.0,400.0,220.0,29.4,0.0
easyJet,GATWICK,GLASGOW,UNITED KINGDOM,6,121,0.0,0.0,12.0,400.0,220.0,35.0,0.0
easyJet,GATWICK,GLASGOW,UNITED KINGDOM,7,101,0.0,0.0,16.0,400.0,220.0,40.6,0.0
easyJet,GATWICK,GLASGOW,UNITED KINGDOM,8,102,0.0,0.0,18.0,400.0,220.0,40.6,0.0
easyJet,GATWICK,GLASGOW,UNITED KINGDOM,10,125,0.0,0.0,12.0,400.0,220.0,28.0,0.0
easyJet,GATWICK,GLASGOW,UNITED KINGDOM,11,102,0.0,0.0,6.0,400.0,220.0,23.8,0.0
easyJet,GATWICK,GLASGOW,UNITED KINGDOM,12,105,0.0,0.0,12.0,400.0,220.0,30.8,0.0
easyJet,GATWICK,JERSEY,UNITED KINGDOM,2,101,0.0,0.0,5.0,400.0,220.0,23.8,0.0
easyJet,GATWICK,JERSEY,UNITED KINGDOM,4,106,0.0,0.0,1.0,400.0,220.0,28.0,0.0
easyJet,GATWICK,JERSEY,UNITED KINGDOM,6,110,0.0,0.0,8.0,400.0,220.0,35.0,0.0
easyJet,GATWICK,JERSEY,UNITED KINGDOM,8,115,0.0,0.008620689655172414,13.0,400.0,220.0,40.6,0.0
easyJet,GATWICK,JERSEY,UNITED KINGDOM,10,111,0.0,0.0,10.0,400.0,220.0,28.0,0.0
easyJet,GATWICK,JERSEY,UNITED KINGDOM,11,106,0.0,0.0,1.0,400.0,220.0,23.8,0.0
easyJet,GATWICK,JERSEY,UNITED KINGDOM,12,123,0.0,0.008064516129032258,5.0,400.0,220.0,30.8,0.0
easyJet,GATWICK,LYON,FRANCE,3,114,0.0,0.0,7.0,350.0,220.0,25.2,0.0
easyJet,GATWICK,MALAGA,SPAIN,6,140,0.0,0.02097902097902098,16.0,1250.0,220.0,35.0,0.0
easyJet,GATWICK,MILAN (MALPENSA),ITALY,3,161,0.0,0.0,6.0,1400.0,220.0,25.2,0.0
easyJet,GATWICK,NICE,FRANCE,4,135,0.0,0.0,15.0,350.0,220.0,28.0,0.0
easyJet,GATWICK,NICE,FRANCE,10,133,0.0,0.0,23.0,350.0,220.0,28.0,0.0
easyJet,GATWICK,PARIS (CHARLES DE GAULLE),FRANCE,2,114,0.0,0.0,10.0,350.0,220.0,23.8,0.0
easyJet,GATWICK,PARIS (CHARLES DE GAULLE),FRANCE,3,134,0.0,0.0,10.0,350.0,220.0,25.2,0.0
easyJet,GATWICK,PARIS (CHARLES DE GAULLE),FRANCE,4,121,0.0,0.024193548387096774,9.0,350.0,220.0,28.0,0.0
easyJet,GATWICK,PARIS (CHARLES DE GAULLE),FRANCE,10,123,0.0,0.031496062992125984,19.0,350.0,220.0,28.0,0.0
easyJet,GATWICK,PARIS (CHARLES DE GAULLE),FRANCE,12,138,0.0,0.014285714285714285,19.0,350.0,220.0,30.8,0.0
easyJet,GATWICK,RHODES,GREECE,7,103,0.0,0.0,43.0,2400.0,350.0,50.75,0.0
easyJet,GLASGOW,BELFAST INTERNATIONAL,UNITED KINGDOM,4,114,0.0,0.0,2.0,400.0,220.0,28.0,0.0
easyJet,GLASGOW,BELFAST INTERNATIONAL,UNITED KINGDOM,5,109,0.0,0.0,4.0,400.0,220.0,29.4,0.0
easyJet,GLASGOW,BELFAST INTERNATIONAL,UNITED KINGDOM,6,113,0.0,0.0,6.0,400.0,220.0,35.0,0.0
easyJet,GLASGOW,GATWICK,UNITED KINGDOM,3,105,0.0,0.0,5.0,400.0,220.0,25.2,0.0
easyJet,GLASGOW,GATWICK,UNITED KINGDOM,4,117,0.0,0.0,3.0,400.0,220.0,28.0,0.0
easyJet,GLASGOW,GATWICK,UNITED KINGDOM,5,118,0.0,0.0,9.0,400.0,220.0,29.4,0.0
easyJet,GLASGOW,GATWICK,UNITED KINGDOM,6,121,0.0,0.0,12.0,400.0,220.0,35.0,0.0
easyJet,GLASGOW,GATWICK,UNITED KINGDOM,7,101,0.0,0.0,18.0,400.0,220.0,40.6,0.0
easyJet,GLASGOW,GATWICK,UNITED KINGDOM,8,102,0.0,0.0,20.0,400.0,220.0,40.6,0.0
easyJet,GLASGOW,GATWICK,UNITED KINGDOM,10,125,0.0,0.0,12.0,400.0,220.0,28.0,0.0
easyJet,GLASGOW,GATWICK,UNITED KINGDOM,12,108,0.0,0.0,9.0,400.0,220.0,30.8,0.0
easyJet,JERSEY,GATWICK,UNITED KINGDOM,2,101,0.0,0.0,6.0,400.0,220.0,23.8,0.0
easyJet,JERSEY,GATWICK,UNITED KINGDOM,4,106,0.0,0.0,2.0,400.0,220.0,28.0,0.0
easyJet,JERSEY,GATWICK,UNITED KINGDOM,5,110,0.0,0.0,11.0,400.0,220.0,29.4,0.0
easyJet,JERSEY,GATWICK,UNITED KINGDOM,6,110,0.0,0.0,10.0,400.0,220.0,35.0,0.0
easyJet,JERSEY,GATWICK,UNITED KINGDOM,8,115,0.0,0.0,15.0,400.0,220.0,40.6,0.0
easyJet,JERSEY,GATWICK,UNITED KINGDOM,9,106,0.0,0.0,19.0,400.0,220.0,30.8,0.0
easyJet,JERSEY,GATWICK,UNITED KINGDOM,10,111,0.0,0.0,9.0,400.0,220.0,28.0,0.0
easyJet,JERSEY,GATWICK,UNITED KINGDOM,11,106,0.0,0.0,2.0,400.0,220.0,23.8,0.0
easyJet,JERSEY,GATWICK,UNITED KINGDOM,12,123,0.0,0.008064516129032258,7.0,400.0,220.0,30.8,0.0
easyJet,LIVERPOOL (JOHN LENNON),BELFAST INTERNATIONAL,UNITED KINGDOM,2,102,0.0,0.0,4.0,400.0,220.0,23.8,0.0
easyJet,LIVERPOOL (JOHN LENNON),BELFAST INTERNATIONAL,UNITED KINGDOM,3,114,0.0,0.0,3.0,400.0,220.0,25.2,0.0
easyJet,LIVERPOOL (JOHN LENNON),BELFAST INTERNATIONAL,UNITED KINGDOM,4,116,0.0,0.0,5.0,400.0,220.0,28.0,0.0
easyJet,LIVERPOOL (JOHN LENNON),BELFAST INTERNATIONAL,UNITED KINGDOM,5,115,0.0,0.0,8.0,400.0,220.0,29.4,0.0
easyJet,LIVERPOOL (JOHN LENNON),BELFAST INTERNATIONAL,UNITED KINGDOM,8,110,0.0,0.0,7.0,400.0,220.0,40.6,0.0
easyJet,LIVERPOOL (JOHN LENNON),BELFAST INTERNATIONAL,UNITED KINGDOM,11,102,0.0,0.0,4.0,400.0,220.0,23.8,0.0
easyJet,LIVERPOOL (JOHN LENNON),BELFAST INTERNATIONAL,UNITED KINGDOM,12,112,0.0,0.0,9.0,400.0,220.0,30.8,0.0
easyJet,LUTON,AMSTERDAM,NETHERLANDS,1,123,0.0,0.031496062992125984,18.536585365853657,360.0,220.0,23.8,0.0
easyJet,LUTON,AMSTERDAM,NETHERLANDS,2,139,0.0,0.0,16.33812949640288,360.0,220.0,23.8,0.0
easyJet,LUTON,AMSTERDAM,NETHERLANDS,3,161,0.0,0.0,9.509316770186336,360.0,220.0,25.2,0.0
easyJet,LUTON,AMSTERDAM,NETHERLANDS,4,135,0.0,0.0,7.555555555555555,360.0,220.0,28.0,0.0
easyJet,LUTON,AMSTERDAM,NETHERLANDS,8,132,0.0,0.007518796992481203,13.81060606060606,360.0,220.0,40.6,0.0
easyJet,LUTON,AMSTERDAM,NETHERLANDS,10,125,0.0,0.0,30.328,360.0,220.0,28.0,0.0
easyJet,LUTON,BELFAST INTERNATIONAL,UNITED KINGDOM,2,102,0.0,0.0,8.0,400.0,220.0,23.8,0.0
easyJet,LUTON,BELFAST INTERNATIONAL,UNITED KINGDOM,3,113,0.0,0.0,5.0,400.0,220.0,25.2,0.0
easyJet,LUTON,BELFAST INTERNATIONAL,UNITED KINGDOM,7,100,0.0,0.0196078431372549,13.0,400.0,220.0,40.6,0.0
easyJet,LUTON,BELFAST INTERNATIONAL,UNITED KINGDOM,8,103,0.0,0.0,15.0,400.0,220.0,40.6,0.0
easyJet,LUTON,GENEVA,SWITZERLAND,2,185,0.0,0.0,19.0,750.0,220.0,23.8,0.0
easyJet,LUTON,GENEVA,SWITZERLAND,3,206,0.0,0.0,9.087378640776699,750.0,220.0,25.2,0.0
easyJet,LUTON,PALMA DE MALLORCA,SPAIN,5,103,0.0,0.0,10.990291262135923,1250.0,220.0,29.4,0.0
easyJet,LUTON,PALMA DE MALLORCA,SPAIN,8,133,0.0,0.014814814814814815,16.39097744360902,1250.0,220.0,40.6,0.0
easyJet,LUTON,PALMA DE MALLORCA,SPAIN,10,103,0.0,0.009615384615384616,21.58252427184466,1250.0,220.0,28.0,0.0
easyJet,LUTON,PARIS (CHARLES DE GAULLE),FRANCE,2,101,0.0,0.0,9.762376237623762,350.0,220.0,23.8,0.0
easyJet,LUTON,PARIS (CHARLES DE GAULLE),FRANCE,3,118,0.0,0.0,6.271186440677966,350.0,220.0,25.2,0.0
easyJet,LUTON,PARIS (CHARLES DE GAULLE),FRANCE,5,102,0.0,0.0,13.0,350.0,220.0,29.4,0.0
easyJet,LUTON,PARIS (CHARLES DE GAULLE),FRANCE,6,103,0.0,0.009615384615384616,15.0,350.0,220.0,35.0,0.0
easyJet,MANCHESTER,AMSTERDAM,NETHERLANDS,2,137,0.0,0.0,13.445255474452555,360.0,220.0,23.8,0.0
easyJet,MANCHESTER,AMSTERDAM,NETHERLANDS,3,151,0.0,0.0,9.211920529801324,360.0,220.0,25.2,0.0
easyJet,MANCHESTER,AMSTERDAM,NETHERLANDS,6,138,0.0,0.007194244604316547,17.91304347826087,360.0,220.0,35.0,0.0
easyJet,MANCHESTER,AMSTERDAM,NETHERLANDS,8,143,0.0,0.013793103448275862,24.3006993006993,360.0,220.0,40.6,0.0
easyJet,MANCHESTER,AMSTERDAM,NETHERLANDS,11,145,0.0,0.013605442176870748,14.36551724137931,360.0,220.0,23.8,0.0
easyJet,MANCHESTER,BELFAST INTERNATIONAL,UNITED KINGDOM,3,102,0.0,0.0,4.0,400.0,220.0,25.2,0.0
easyJet,MANCHESTER,BELFAST INTERNATIONAL,UNITED KINGDOM,4,106,0.0,0.0,4.0,400.0,220.0,28.0,0.0
easyJet,MANCHESTER,BELFAST INTERNATIONAL,UNITED KINGDOM,5,108,0.0,0.0,12.0,400.0,220.0,29.4,0.0
easyJet,MANCHESTER,BELFAST INTERNATIONAL,UNITED KINGDOM,6,108,0.0,0.0,15.0,400.0,220.0,35.0,0.0
easyJet,MANCHESTER,BELFAST INTERNATIONAL,UNITED KINGDOM,8,110,0.0,0.0,13.0,400.0,220.0,40.6,0.0
easyJet,MANCHESTER,BELFAST INTERNATIONAL,UNITED KINGDOM,9,110,0.0,0.017857142857142856,17.0,400.0,220.0,30.8,0.0
easyJet,MANCHESTER,BELFAST INTERNATIONAL,UNITED KINGDOM,11,107,0.0,0.0,16.0,400.0,220.0,23.8,0.0
